Grade,Gender,WPM,CPM,Acc. (%),rWPM,Correct,Incorrect,Extra,Missed,Cons.,,WPM,CPM,Acc. (%),rWPM,Correct,Incorrect,Extra,Missed,Cons.,,Average WPM,Hand Length R,Hand Span R,Thumb Length R,Hand Length L,Hand Span L,Thumb Length L,Other Notes,,Avg WPM,Avg CPM,Avg Acc,Avg rWPM,Avg Correct,Avg Incorrect,Avg Extra,Avg Missed,Avg Cons,,Avg Hand Length,Average Hand Span,Average Thumb Length
,,Test 1 (Personal Laptop),,,,,,,,,,Test 2 (Set Laptop),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,F,36.79,183.95,85.94,49.58,92,5,4,2,65.81,,48,240,92.86,54.8,120,4,1,1,64.44,,42.395,16,18,6.6,16.5,18.5,5.5,,,42.395,211.975,89.4,52.19,106,4.5,2.5,1.5,65.125,,16.25,18.25,6.05
9,F,79,393.85,94,80,197,2,0,0,59,,68,308,95,62,172,0,0,0,58,,73.5,17,17,6,17,17,6,,,73.5,350.925,94.5,71,184.5,1,0,0,58.5,,17,17,6
9,M,68.05,340.25,97.74,70.05,170,1,0,0,66.86,,55.16,275.8,96.08,60.36,138,2,0,0,60.69,,61.605,17.5,20.5,6.5,18,19,6,,,61.605,308.025,96.91,65.205,154,1.5,0,0,63.775,,17.75,19.75,6.25
9,M,78,392.8,93,79,192,2,0,0,57,,65,312.9,97.3,61.8,156,2,0,0,65.9,,71.5,16.6,16,6,16.3,16,6,,,71.5,352.85,95.15,70.4,174,2,0,0,61.45,,16.45,16,6
9,M,101.82,510.8,100,103,256,0,0,0,66.9,,93.2,466.9,96.35,61.9,156,0,0,0,68.8,,97.51,16,16,6,16.3,16.3,6,,,97.51,488.85,98.175,82.45,206,0,0,0,67.85,,16.15,16.15,6
9,M,55.56,265.7,95.83,55.96,134,0,1,0,66.8,,52.9,265.8,93.83,54,132,0,1,0,66.67,,54.23,14,14.5,5,14,14.5,5,,,54.23,265.75,94.83,54.98,133,0,1,0,66.735,,14,14.5,5
9,M,67.2,341.1,96.53,72.32,169,1,0,0,66.86,,55.3,270.3,93,56,129,0,0,0,67.8,,61.25,18,18,6,18,18,6,,,61.25,305.7,94.765,64.16,149,0.5,0,0,67.33,,18,18,6
9,M,104.51,522.55,100,105,43,0,0,0,91,,41.59,207.95,71,57,104,22,3,1,54,,73.05,18,17.5,6,18,17,6,,,73.05,365.25,85.5,81,73.5,11,1.5,0.5,72.5,,18,17.25,6
10,M,109.42,547.1,92.23,119.8,274,10,3,1,72.99,,95.54,477.7,85.95,115.12,239,16,8,0,69.52,,102.48,18.2,20.5,6.5,18.5,20.5,6.5,,,102.48,512.4,89.09,117.46,256.5,13,5.5,0.5,71.255,,18.35,20.5,6.5
